ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Abschlussprofil Messing natur 25 mm 250 cm;;;09018250;Dural GmbH;10000;28,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0250;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm;;;09020551;Dural GmbH;10000;28,98;;;;;;;;;;;;;;;;050.010.0010;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm;;;09020552;Dural GmbH;10000;40,58;;;;;;;;;;;;;;;;050.010.0020;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm;;;09020751;Dural GmbH;10000;32,6;;;;;;;;;;;;;;;;050.010.0030;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm;;;09020752;Dural GmbH;10000;51;;;;;;;;;;;;;;;;050.010.0040;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm;;;09020951;Dural GmbH;10000;36,74;;;;;;;;;;;;;;;;050.010.0050;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm;;;09020952;Dural GmbH;10000;57,42;;;;;;;;;;;;;;;;050.010.0060;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 100 cm;;;09021060;Dural GmbH;10000;18,22;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0260;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 100 cm;;;09021080;Dural GmbH;10000;18,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0270;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 100 cm;;;09021100;Dural GmbH;10000;19,92;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0280;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 100 cm;;;09021110;Dural GmbH;10000;20,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0290;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 100 cm;;;09021120;Dural GmbH;10000;20,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0300;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 300 cm;;;09022060;Dural GmbH;10000;16,9;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0310;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 300 cm;;;09022080;Dural GmbH;10000;17,5;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0320;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 300 cm;;;09022090;Dural GmbH;10000;18,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0330;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 300 cm;;;09022100;Dural GmbH;10000;18,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0340;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 300 cm;;;09022110;Dural GmbH;10000;18,7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0350;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 300 cm;;;09022120;Dural GmbH;10000;18,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0360;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 15 mm 300 cm;;;09022150;Dural GmbH;10000;20,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0370;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm 300 cm;;;09022155;Dural GmbH;10000;47,44;;;;;;;;;;;;;;;;050.010.0070;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm 300 cm;;;09022175;Dural GmbH;10000;53,56;;;;;;;;;;;;;;;;050.010.0080;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm 300 cm;;;09022195;Dural GmbH;10000;60,4;;;;;;;;;;;;;;;;050.010.0090;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 2 mm 250 cm;;;09028020;Dural GmbH;10000;15,6;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0380;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 3 mm 250 cm;;;09028030;Dural GmbH;10000;15,6;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0390;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 3 mm 250 cm;;;0902803099;Dural GmbH;10000;18,88;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0400;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 3 mm 250 cm;;;09028031;Dural GmbH;10000;23,34;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0410;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 4,5 mm 250 cm;;;09028040;Dural GmbH;10000;16,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0420;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 4,5 mm 250 cm;;;0902804099;Dural GmbH;10000;19,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0430;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 4,5 mm 250 cm;;;09028041;Dural GmbH;10000;24,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0440;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 250 cm;;;09028060;Dural GmbH;10000;16,9;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0450;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 250 cm;;;0902806099;Dural GmbH;10000;20,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0460;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 250 cm;;;09028061;Dural GmbH;10000;25,34;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0470;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 250 cm;;;09028064;Dural GmbH;10000;27,58;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0480;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 250 cm;;;09028080;Dural GmbH;10000;17,5;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0490;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 250 cm;;;0902808099;Dural GmbH;10000;20,72;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0500;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 8 mm 250 cm;;;09028081;Dural GmbH;10000;26,24;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0510;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 8 mm 250 cm;;;09028084;Dural GmbH;10000;29,32;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0520;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 250 cm;;;09028090;Dural GmbH;10000;18,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0530;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 9 mm 250 cm;;;09028091;Dural GmbH;10000;26,74;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0540;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 250 cm;;;09028100;Dural GmbH;10000;18,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0550;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 250 cm;;;0902810099;Dural GmbH;10000;21,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0560;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 10 mm 250 cm;;;09028101;Dural GmbH;10000;27,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0570;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 10 mm 250 cm;;;09028104;Dural GmbH;10000;31,12;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0580;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 250 cm;;;09028110;Dural GmbH;10000;18,7;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0590;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 250 cm;;;0902811099;Dural GmbH;10000;21,92;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0600;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 11 mm 250 cm;;;09028111;Dural GmbH;10000;27,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0610;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 11 mm 250 cm;;;09028114;Dural GmbH;10000;31,96;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0620;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 250 cm;;;09028120;Dural GmbH;10000;18,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0630;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 250 cm;;;0902812099;Dural GmbH;10000;22,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0640;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 12,5 mm 250 cm;;;09028121;Dural GmbH;10000;28,26;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0650;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 12,5 mm 250 cm;;;09028122;Dural GmbH;10000;32,64;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0660;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 14 mm 250 cm;;;09028140;Dural GmbH;10000;19,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0670;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 15 mm 250 cm;;;09028150;Dural GmbH;10000;20,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0680;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 15 mm 250 cm;;;090281500;Dural GmbH;10000;29,9;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0690;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 20 mm 250 cm;;;09028200;Dural GmbH;10000;22,5;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0700;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 20 mm 250 cm;;;09028201;Dural GmbH;10000;33,68;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0710;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 22 mm 250 cm;;;09028220;Dural GmbH;10000;24,06;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0720;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
