ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Abschlussprofil Edelstahl (V2A, 304) natur 15 mm 300 cm;;;09022150;Dural GmbH;10000;1,76;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 150, 300;;15.07.2026;;;;;020.020.0370;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm 300 cm;;;09022155;Dural GmbH;10000;47,44;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;BWE 55, 300;;15.07.2026;;;;;050.010.0070;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm 300 cm;;;09022175;Dural GmbH;10000;53,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;BWE 75, 300;;15.07.2026;;;;;050.010.0080;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm 300 cm;;;09022195;Dural GmbH;10000;60,4;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;BWE 95, 300;;15.07.2026;;;;;050.010.0090;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 2 mm 250 cm;;;09028020;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 20, 250;;15.07.2026;;;;;020.020.0380;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 3 mm 250 cm;;;09028030;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 30, 250;;15.07.2026;;;;;020.020.0390;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 3 mm 250 cm;;;0902803099;Dural GmbH;10000;18,88;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 30-ZF, 250;;15.07.2026;;;;;020.020.0400;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 3 mm 250 cm;;;09028031;Dural GmbH;10000;2,23;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 30-SP, 250;;15.07.2026;;;;;020.020.0410;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 4,5 mm 250 cm;;;09028040;Dural GmbH;10000;1,4;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 45, 250;;15.07.2026;;;;;020.020.0420;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 4,5 mm 250 cm;;;0902804099;Dural GmbH;10000;19,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 45-ZF, 250;;15.07.2026;;;;;020.020.0430;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 4,5 mm 250 cm;;;09028041;Dural GmbH;10000;2,23;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 45-SP, 250;;15.07.2026;;;;;020.020.0440;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 250 cm;;;09028060;Dural GmbH;10000;1,4;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 60, 250;;15.07.2026;;;;;020.020.0450;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 250 cm;;;0902806099;Dural GmbH;10000;20,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 60-ZF, 250;;15.07.2026;;;;;020.020.0460;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 250 cm;;;09028061;Dural GmbH;10000;2,28;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 60-SP, 250;;15.07.2026;;;;;020.020.0470;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 250 cm;;;09028064;Dural GmbH;10000;1,55;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 60-SF, 250;;15.07.2026;;;;;020.020.0480;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 250 cm;;;09028080;Dural GmbH;10000;1,40;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 80, 250;;15.07.2026;;;;;020.020.0490;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 250 cm;;;0902808099;Dural GmbH;10000;1,40;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 80-ZF, 250;;15.07.2026;;;;;020.020.0500;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 8 mm 250 cm;;;09028081;Dural GmbH;10000;2,28;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 80-SP, 250;;15.07.2026;;;;;020.020.0510;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 8 mm 250 cm;;;09028084;Dural GmbH;10000;1,60;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 80-SF, 250;;15.07.2026;;;;;020.020.0520;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 250 cm;;;09028090;Dural GmbH;10000;1,50;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 90, 250;;15.07.2026;;;;;020.020.0530;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 9 mm 250 cm;;;09028091;Dural GmbH;10000;2,28;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 90-SP, 250;;15.07.2026;;;;;020.020.0540;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 250 cm;;;09028100;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 100, 250;;15.07.2026;;;;;020.020.0550;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 250 cm;;;0902810099;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 100-ZF, 250;;15.07.2026;;;;;020.020.0560;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur hochglanzpoliert 10 mm 250 cm;;;09028101;Dural GmbH;10000;2,33;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 100-SP, 250;;15.07.2026;;;;;020.020.0570;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur gebürstet 10 mm 250 cm;;;09028104;Dural GmbH;10000;1,51;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 100-SF, 250;;15.07.2026;;;;;020.020.0580;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 250 cm;;;09028110;Dural GmbH;10000;1,41;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 110, 250;;15.07.2026;;;;;020.020.0590;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
