Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema),Einkaufspreis EUR netto,Lieferanten Firmenname,Lieferantennummer,"Verkaufspreis €, BE",Zolltarifnummer,weclapp Artikel-ID,weclapp Bezugsquelle-ID,weclapp Breite (m),weclapp Einheit-ID,weclapp Erstellt am,weclapp Geändert am,weclapp Kategorie-ID,weclapp Version
020.020.0100,0901810099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 10 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901810099.",Biegbares Abschlussprofil Messing natur 10 mm 250 cm,"DSM 100-ZF, 250",4018448053751,STORABLE,lfm,gid://shopify/Product/15986693538122,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,10,,,,,,"0,264",gid://shopify/Product/15986693538122,gid://shopify/ProductVariant/63188423115082,21.76,DURAL GmbH,10000,9.11,74072190,106702,150510,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0110,09018103,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 10 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018103.",Abschlussprofil Messing natur 10 mm 250 cm,"DSM 100, 250",4018448039373,STORABLE,lfm,gid://shopify/Product/15986695012682,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,10,,,,,,"0,248",gid://shopify/Product/15986695012682,gid://shopify/ProductVariant/63188445495626,18.04,DURAL GmbH,10000,7.55,74072190,106703,150514,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0120,09018104,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm,"Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 250 cm, Material: Messing, Oberfläche: hochglanzpoliert, Farbe: natur, Artikelnummer: 09018104.",Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm,"DSM 100-SP, 250",4018448039632,STORABLE,lfm,gid://shopify/Product/15986696651082,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,hochglanzpoliert,Natur,DUROSOL,A,lfm,,10,40,300,,250,10,,,,,,"0,248",gid://shopify/Product/15986696651082,gid://shopify/ProductVariant/63188481245514,31.04,DURAL GmbH,10000,12.99,74072190,106704,150518,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0130,09018110,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 11 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 11 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018110.",Abschlussprofil Messing natur 11 mm 250 cm,"DSM 110, 250",4018448022214,STORABLE,lfm,gid://shopify/Product/15986698256714,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,11,,,,,,"0,267",gid://shopify/Product/15986698256714,gid://shopify/ProductVariant/63188516503882,18.56,DURAL GmbH,10000,7.77,74072190,106705,150522,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0140,0901811099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 11 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 11 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901811099.",Biegbares Abschlussprofil Messing natur 11 mm 250 cm,"DSM 110-ZF, 250",4018448024614,STORABLE,lfm,gid://shopify/Product/15986699862346,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,11,,,,,,"0,264",gid://shopify/Product/15986699862346,gid://shopify/ProductVariant/63188544651594,22.3,DURAL GmbH,10000,9.33,74072190,106706,150526,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0150,0901812099,Profile,Abschlussprofile Winkel,"Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm","Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901812099.","Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm","DSM 125-ZF, 250",4018448053768,STORABLE,lfm,gid://shopify/Product/15986701271370,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,"12,5",,,,,,"0,291",gid://shopify/Product/15986701271370,gid://shopify/ProductVariant/63188570636618,22.82,DURAL GmbH,10000,9.56,74072190,106707,150530,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0160,09018123,Profile,Abschlussprofile Winkel,"Abschlussprofil Messing natur 12,5 mm 250 cm","Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018123.","Abschlussprofil Messing natur 12,5 mm 250 cm","DSM 125, 250",4018448039441,STORABLE,lfm,gid://shopify/Product/15986702647626,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,"12,5",,,,,,"0,282",gid://shopify/Product/15986702647626,gid://shopify/ProductVariant/63188596523338,19.04,DURAL GmbH,10000,7.97,74072190,106708,150534,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0170,09018124,Profile,Abschlussprofile Winkel,"Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm","Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 250 cm, Material: Messing, Oberfläche: hochglanzpoliert, Farbe: natur, Artikelnummer: 09018124.","Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm","DSM 125-SP, 250",4018448039663,STORABLE,lfm,gid://shopify/Product/15986704154954,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,hochglanzpoliert,Natur,DUROSOL,A,lfm,,10,40,300,,250,"12,5",,,,,,"0,282",gid://shopify/Product/15986704154954,gid://shopify/ProductVariant/63188623098186,32.02,DURAL GmbH,10000,13.41,74072190,106709,150538,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0180,09018150,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 15 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 15 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018150.",Abschlussprofil Messing natur 15 mm 250 cm,"DSM 150, 250",4018448005989,STORABLE,lfm,gid://shopify/Product/15986705629514,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,15,,,,,,"0,315",gid://shopify/Product/15986705629514,gid://shopify/ProductVariant/63188632961354,21.52,DURAL GmbH,10000,9.01,74072190,106710,150542,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0190,0901815099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 15 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 15 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901815099.",Biegbares Abschlussprofil Messing natur 15 mm 250 cm,"DSM 150-ZF, 250",4018448053775,STORABLE,lfm,gid://shopify/Product/15986706940234,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,15,,,,,,"0,313",gid://shopify/Product/15986706940234,gid://shopify/ProductVariant/63188650688842,24.28,DURAL GmbH,10000,10.16,74072190,106711,150546,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0200,,Profile,Abschlussprofile Winkel,"Abschlussprofil Messing natur 18,5 mm 250 cm","Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 18,5 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018180.","Abschlussprofil Messing natur 18,5 mm 250 cm","DSM 185, 250",4018448005996,BASIC,lfm,gid://shopify/Product/15986708218186,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,"18,5",,,,,,"0,402",gid://shopify/Product/15986708218186,gid://shopify/ProductVariant/63188668318026,,,,10.09,74072190,106712,,,4259,05.07.2026 20:08,24.08.2026 16:31,20327,19
020.020.0210,0901818099,Profile,Abschlussprofile Winkel,"Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm","Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 18,5 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901818099.","Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm","DSM 185-ZF, 250",4018448053782,STORABLE,lfm,gid://shopify/Product/15986709528906,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,"18,5",,,,,,"0,408",gid://shopify/Product/15986709528906,gid://shopify/ProductVariant/63188669694282,26.98,DURAL GmbH,10000,11.29,74072190,106713,150554,,4259,05.07.2026 20:08,24.08.2026 16:31,20327,16
020.020.0220,09018200,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 20 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 20 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018200.",Abschlussprofil Messing natur 20 mm 250 cm,"DSM 200, 250",4018448006009,STORABLE,lfm,gid://shopify/Product/15986711494986,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,20,,,,,,"0,428",gid://shopify/Product/15986711494986,gid://shopify/ProductVariant/63188671922506,24.96,DURAL GmbH,10000,10.45,74072190,106714,150558,,4259,05.07.2026 20:08,24.08.2026 16:31,20327,16
020.020.0230,0901820099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 20 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 20 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901820099.",Biegbares Abschlussprofil Messing natur 20 mm 250 cm,"DSM 200-ZF, 250",4018448053799,STORABLE,lfm,gid://shopify/Product/15986713592138,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,20,,,,,,"0,435",gid://shopify/Product/15986713592138,gid://shopify/ProductVariant/63188673757514,27.92,DURAL GmbH,10000,11.69,74072190,106715,150562,,4259,05.07.2026 20:08,24.08.2026 16:31,20327,16
020.020.0240,09018220,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 22 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 22 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018220.",Abschlussprofil Messing natur 22 mm 250 cm,"DSM 220, 250",4018448005927,STORABLE,lfm,gid://shopify/Product/15986714870090,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,22,,,,,,"0,458",gid://shopify/Product/15986714870090,gid://shopify/ProductVariant/63188675690826,26.52,DURAL GmbH,10000,11.1,74072190,106716,150566,,4259,05.07.2026 20:08,24.08.2026 16:31,20327,16
020.020.0250,09018250,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 25 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 25 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018250.",Abschlussprofil Messing natur 25 mm 250 cm,"DSM 250, 250",4018448005910,STORABLE,lfm,gid://shopify/Product/15986716246346,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,25,,,,,,"0,516",gid://shopify/Product/15986716246346,gid://shopify/ProductVariant/63188677558602,28.3,DURAL GmbH,10000,11.84,74072190,106717,150570,,4259,05.07.2026 20:08,24.08.2026 16:31,20327,16
050.010.0010,9020551,Balkon und Terrasse,Balkonwinkelprofile,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 55 mm, Material: Edelstahl (V2A, 304), Farbe: silber, Artikelnummer: 09020551.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm","BWE 55-XC, 1",4018448052556,STORABLE,Stk.,gid://shopify/Product/15986717622602,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Edelstahl V2A,unbehandelt,Silber,DURABAL BW,A,Stück,,10,50,,80,,55,,,,,,"0,1",gid://shopify/Product/15986717622602,gid://shopify/ProductVariant/63188703969610,28.98,DURAL GmbH,10000,12.12,72224050,106718,150574,"0,08",3566,05.07.2026 20:08,24.08.2026 16:31,20347,18
050.010.0020,09020552,Balkon und Terrasse,Balkonwinkelprofile,"Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) silber für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 55 mm, Material: Edelstahl (V2A, 304), Farbe: silber, Artikelnummer: 09020552.","Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm","BWE 55-X, 1",4018448052464,STORABLE,Stk.,gid://shopify/Product/15986718998858,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Edelstahl V2A,unbehandelt,Silber,DURABAL BW,A,Stück,,10,50,,80,,55,,,,,,"0,1",gid://shopify/Product/15986718998858,gid://shopify/ProductVariant/63188722188618,40.58,DURAL GmbH,10000,16.98,72224050,106719,150578,"0,08",3566,05.07.2026 20:08,24.08.2026 16:31,20347,18
050.010.0030,09020751,Balkon und Terrasse,Balkonwinkelprofile,"Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm","Balkonwinkelprofil aus Edelstahl (V2A, 304) natur für Randabschlüsse, Winkelanschlüsse und Entwässerungsdetails auf Balkon- und Terrassenflächen. Das Profil unterstützt eine saubere Kantenausbildung und führt Wasser kontrolliert vom Belagsrand weg. Abmessung: 80 × 75 mm, Material: Edelstahl (V2A, 304), Farbe: natur, Artikelnummer: 09020751.","Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm","BWE 75-XC, 1",4018448052563,STORABLE,Stk.,gid://shopify/Product/15986720670026,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Edelstahl V2A,unbehandelt,Natur,DURABAL BW,A,Stück,,10,50,,80,,75,,,,,,"0,733",gid://shopify/Product/15986720670026,gid://shopify/ProductVariant/63188748894538,32.6,DURAL GmbH,10000,13.64,72224050,106720,150582,"0,08",3566,05.07.2026 20:08,24.08.2026 16:31,20347,18
