Prosema Artikelnummer,Kategorie,Lieferanten Firmenname,Artikelnr.,Beschreibung,PROSEMA Kurztext,PROSEMA Langtext,SEO Meta Title,SEO Meta Description,Fokus-Keyword,Shopify Tags,Datenstatus,Referenz (Matchcode),Hauptgruppe,Untergruppe,Produktfamilie,Grundmaterial,Oberfläche,Farbe,Breite mm,Länge cm,Höhe mm,Basiseinheitencode,Nettogewicht kg,Verpackung,GTIN (EAN-Nummer),Zolltarifnummer,Einkaufspreis EUR netto,"Verkaufspreis €, BE",Einkaufspreis Prosema,Verkaufspreis,Verkaufspreis o. Verkn.,Verkaufseinheit,Rabattkategorie_Lieferant,VPE 1,VPE 2,VPE 3,Lieferantennummer,Produktfoto 1
020.020.0110,,Dural GmbH,09018103,DSM 100 250 CM MESSING NATUR,Abschlussprofil Messing natur 10 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018103.",Abschlussprofil Messing natur 10 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 10 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 100, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,10,lfm,"0,248",,4018448039373,74072190,,18.04,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0120,,Dural GmbH,09018104,DSM 100-SP 250 CM MESSING POLIERT,Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm,"Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 250 cm; Material: Messing; Oberfläche: hochglanzpoliert; Farbe: natur; Artikelnummer: 09018104.",Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 10 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 100-SP, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[hochglanzpoliert],Natur,,250,10,lfm,"0,248",,4018448039632,74072190,,31.04,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm-sp.jpg"
020.020.0130,,Dural GmbH,09018110,DSM 110 250 CM MESSING NATUR,Abschlussprofil Messing natur 11 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 11 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018110.",Abschlussprofil Messing natur 11 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 11 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 110, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,11,lfm,"0,267",,4018448022214,74072190,,18.56,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0140,,Dural GmbH,0901811099,DSM 110-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 11 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 11 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901811099.",Biegbares Abschlussprofil Messing natur 11 mm 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 11 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 110-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,11,lfm,"0,264",,4018448024614,74072190,,22.3,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0150,,Dural GmbH,0901812099,DSM 125-ZF 250 CM MESSING NATUR,"Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm","Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901812099.","Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm | PROSEMA",Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 12,5 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 125-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,"12,5",lfm,"0,291",,4018448053768,74072190,,22.82,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0160,,Dural GmbH,09018123,DSM 125 250 CM MESSING NATUR,"Abschlussprofil Messing natur 12,5 mm 250 cm","Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018123.","Abschlussprofil Messing natur 12,5 mm 250 cm | PROSEMA",Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 12,5 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 125, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,"12,5",lfm,"0,282",,4018448039441,74072190,,19.04,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0170,,Dural GmbH,09018124,DSM 125-SP 250 CM MESSING POLIERT,"Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm","Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 12,5 mm 250 cm; Material: Messing; Oberfläche: hochglanzpoliert; Farbe: natur; Artikelnummer: 09018124.","Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm | PROSEM",Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 12,5 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 125-SP, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[hochglanzpoliert],Natur,,250,"12,5",lfm,"0,282",,4018448039663,74072190,,32.02,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm-sp.jpg"
020.020.0180,,Dural GmbH,09018150,DSM 150 250 CM MESSING NATUR,Abschlussprofil Messing natur 15 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 15 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018150.",Abschlussprofil Messing natur 15 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 15 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 150, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,15,lfm,"0,315",,4018448005989,74072190,,21.52,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0190,,Dural GmbH,0901815099,DSM 150-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 15 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 15 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901815099.",Biegbares Abschlussprofil Messing natur 15 mm 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 15 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 150-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,15,lfm,"0,313",,4018448053775,74072190,,24.28,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0200,,Dural GmbH,09018180,DSM 185 250 CM MESSING NATUR,"Abschlussprofil Messing natur 18,5 mm 250 cm","Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 18,5 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018180.","Abschlussprofil Messing natur 18,5 mm 250 cm | PROSEMA",Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 18,5 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 185, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,"18,5",lfm,"0,402",,4018448005996,74072190,,24.1,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0210,,Dural GmbH,0901818099,DSM 185-ZF 250 CM MESSING NATUR,"Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm","Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 18,5 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901818099.","Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm | PROSEMA",Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 18,5 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 185-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,"18,5",lfm,"0,408",,4018448053782,74072190,,26.98,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0220,,Dural GmbH,09018200,DSM 200 250 CM MESSING NATUR,Abschlussprofil Messing natur 20 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 20 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018200.",Abschlussprofil Messing natur 20 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 20 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 200, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,20,lfm,"0,428",,4018448006009,74072190,,24.96,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0230,,Dural GmbH,0901820099,DSM 200-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 20 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 20 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901820099.",Biegbares Abschlussprofil Messing natur 20 mm 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 20 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 200-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,20,lfm,"0,435",,4018448053799,74072190,,27.92,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0240,,Dural GmbH,09018220,DSM 220 250 CM MESSING NATUR,Abschlussprofil Messing natur 22 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 22 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018220.",Abschlussprofil Messing natur 22 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 22 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 220, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,22,lfm,"0,458",,4018448005927,74072190,,26.52,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0250,,Dural GmbH,09018250,DSM 250 250 CM MESSING NATUR,Abschlussprofil Messing natur 25 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 25 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018250.",Abschlussprofil Messing natur 25 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 25 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 250, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,25,lfm,"0,516",,4018448005910,74072190,,28.3,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
