Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema)
wird autogeneriert,J1400315,,,FFK-L Faser-Flexkleber leicht,,FFK-L Faser-Flexkleber leicht,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterkontaktschlämme / Kleber,,Sack,15 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1400425,,,GFK Großformatkleber XXL,,GFK Großformatkleber XXL,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterkontaktschlämme / Kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1400125,,,ABK Asphalt-Beton-Kleber,,ABK Asphalt-Beton-Kleber,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterkontaktschlämme / Kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200025,,,ZFM 500 Pflasterfugenmörtel grau,,ZFM 500 Pflasterfugenmörtel grau,,4250935100696,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200000,,,ZFM 500 Pflasterfugenmörtel grau,,ZFM 500 Pflasterfugenmörtel grau,,4250935100689,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201025,,,ZFM 600 Pflasterfugenmörtel grau,,ZFM 600 Pflasterfugenmörtel grau,,4250935100795,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201000,,,ZFM 600 Pflasterfugenmörtel grau,,ZFM 600 Pflasterfugenmörtel grau,,4250935102492,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202825,,,ZFM 600 Pflasterfugenmörtel dunkelgrau,,ZFM 600 Pflasterfugenmörtel dunkelgrau,,4250935102904,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202800,,,ZFM 600 Pflasterfugenmörtel dunkelgrau,,ZFM 600 Pflasterfugenmörtel dunkelgrau,,,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202725,,,ZFM 600 Pflasterfugenmörtel anthrazit,,ZFM 600 Pflasterfugenmörtel anthrazit,,4250935102898,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202700,,,ZFM 600 Pflasterfugenmörtel anthrazit,,ZFM 600 Pflasterfugenmörtel anthrazit,,,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202625,,,ZFM 600 Pflasterfugenmörtel sand,,ZFM 600 Pflasterfugenmörtel sand,,4250935102881,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202600,,,ZFM 600 Pflasterfugenmörtel sand,,ZFM 600 Pflasterfugenmörtel sand,,,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0203425,,,ZFM 630 Pflasterfugenmörtel grau,,ZFM 630 Pflasterfugenmörtel grau,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0203400,,,ZFM 630 Pflasterfugenmörtel grau,,ZFM 630 Pflasterfugenmörtel grau,,,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200225,,,ZFM 700 Pflasterfugenmörtel grau,,ZFM 700 Pflasterfugenmörtel grau,,4250935100719,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200325,,,ZFM 700 Pflasterfugenmörtel dunkelgrau,,ZFM 700 Pflasterfugenmörtel dunkelgrau,,4250935100726,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200425,,,ZFM 700 Pflasterfugenmörtel anthrazit,,ZFM 700 Pflasterfugenmörtel anthrazit,,4250935100733,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0203625,,,ZFM 700 LTR Pflasterfugenmörtel grau,,ZFM 700 LTR Pflasterfugenmörtel grau,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200525,,,ZFM 700 Pflasterfugenmörtel sand,,ZFM 700 Pflasterfugenmörtel sand,,4250935100740,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200625,,,ZFM 700/2 Pflasterfugenmörtel grau,,ZFM 700/2 Pflasterfugenmörtel grau,,4250935100757,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200925,,,ZFM 700/2 Pflasterfugenmörtel dunkelgrau,,ZFM 700/2 Pflasterfugenmörtel dunkelgrau,,4250935100788,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200725,,,ZFM 700/2 Pflasterfugenmörtel anthrazit,,ZFM 700/2 Pflasterfugenmörtel anthrazit,,4250935100764,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0200825,,,ZFM 700/2 Pflasterfugenmörtel sand,,ZFM 700/2 Pflasterfugenmörtel sand,,4250935100771,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201125,,,ZFM 730 Pflasterfugenmörtel grau,,ZFM 730 Pflasterfugenmörtel grau,,4250935100801,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201225,,,ZFM 730 Pflasterfugenmörtel dunkelgrau,,ZFM 730 Pflasterfugenmörtel dunkelgrau,,4250935100818,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201325,,,ZFM 730 Pflasterfugenmörtel anthrazit,,ZFM 730 Pflasterfugenmörtel anthrazit,,4250935100825,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201425,,,ZFM 730 Pflasterfugenmörtel sand,,ZFM 730 Pflasterfugenmörtel sand,,4250935100832,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0201925,,,ZFM 750/2 ZRB Pflasterfugenmörtel grau,,ZFM 750/2 ZRB Pflasterfugenmörtel grau,,4250935102782,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0202025,,,ZFM 800 Pflasterfugenmörtel grau,,ZFM 800 Pflasterfugenmörtel grau,,4250935100887,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel zementgebunden,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0103525,,,KFM 120 Pflasterfugenmörtel sand,,KFM 120 Pflasterfugenmörtel sand,,4250935100238,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0103825,,,KFM 120 Pflasterfugenmörtel steingrau,,KFM 120 Pflasterfugenmörtel steingrau,,4250935100269,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0103625,,,KFM 120 Pflasterfugenmörtel grau,,KFM 120 Pflasterfugenmörtel grau,,4250935100245,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0103725,,,KFM 120 Pflasterfugenmörtel anthrazit,,KFM 120 Pflasterfugenmörtel anthrazit,,4250935100252,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102025,,,KFM 200 Pflasterfugenmörtel sand,,KFM 200 Pflasterfugenmörtel sand,,4250935100061,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102325,,,KFM 200 Pflasterfugenmörtel steingrau,,KFM 200 Pflasterfugenmörtel steingrau,,4250935100092,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102125,,,KFM 200 Pflasterfugenmörtel grau,,KFM 200 Pflasterfugenmörtel grau,,4250935100078,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102225,,,KFM 200 Pflasterfugenmörtel anthrazit,,KFM 200 Pflasterfugenmörtel anthrazit,,4250935100085,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102520,,,KFM 200FF Pflasterfugenmörtel sand,,KFM 200FF Pflasterfugenmörtel sand,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,20 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102720,,,KFM 200FF Pflasterfugenmörtel steingrau,,KFM 200FF Pflasterfugenmörtel steingrau,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,20 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102620,,,KFM 200FF Pflasterfugenmörtel grau,,KFM 200FF Pflasterfugenmörtel grau,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,20 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0102820,,,KFM 200FF Pflasterfugenmörtel anthrazit,,KFM 200FF Pflasterfugenmörtel anthrazit,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,20 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0105025,,,KFM 280 Pflasterfugenmörtel sand,,KFM 280 Pflasterfugenmörtel sand,,4250935100351,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0105325,,,KFM 280 Pflasterfugenmörtel steingrau,,KFM 280 Pflasterfugenmörtel steingrau,,4250935100382,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0105125,,,KFM 280 Pflasterfugenmörtel grau,,KFM 280 Pflasterfugenmörtel grau,,4250935100368,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0105225,,,KFM 280 Pflasterfugenmörtel anthrazit,,KFM 280 Pflasterfugenmörtel anthrazit,,4250935100375,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0101025,,,KFM 300 Pflasterfugenmörtel sand,,KFM 300 Pflasterfugenmörtel sand,,4250935100023,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0101325,,,KFM 300 Pflasterfugenmörtel steingrau,,KFM 300 Pflasterfugenmörtel steingrau,,4250935100054,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0101125,,,KFM 300 Pflasterfugenmörtel grau,,KFM 300 Pflasterfugenmörtel grau,,4250935100030,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0101225,,,KFM 300 Pflasterfugenmörtel anthrazit,,KFM 300 Pflasterfugenmörtel anthrazit,,4250935100047,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterfugenmörtel kunstharzgebunden,,Eimer,25 kg Eimer,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0106025,,,MFS Mineras Fugensand sand,,MFS Mineras Fugensand sand,,4250935100405,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Fugensand mineralisch,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0106225,,,MFS Mineras Fugensand granit,,MFS Mineras Fugensand granit,,4250935102768,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Fugensand mineralisch,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0106425,,,MFS Mineras Fugensand nero,,MFS Mineras Fugensand nero,,4250935100405,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Fugensand mineralisch,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0211809,,,JURAFELX SABA Primer 2-K H17,,JURAFELX SABA Primer 2-K H17,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Dose,900 ml,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0211706,,,JURAFELX SABA Dichtstoff 1-K selbstnivellierend MS Floor SL,,JURAFELX SABA Dichtstoff 1-K selbstnivellierend MS Floor SL,,,BASIC,Btl.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Beutel,600 ml,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0211606,,,JURAFELX SABA Dichtstoff 1-K standfest MS Floor,,JURAFELX SABA Dichtstoff 1-K standfest MS Floor,,,BASIC,Btl.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Beutel,600 ml,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0211507,,,JURAFLEX SABA Polysulfid Dichtstoff 2-K Sealer Field,,JURAFLEX SABA Polysulfid Dichtstoff 2-K Sealer Field,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Eimer,"7,5 l",,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220510,,,JURALITH Rundschnur 10 mm,,JURALITH Rundschnur 10 mm,,4250935101433,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,100 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220513,,,JURALITH Rundschnur 13 mm,,JURALITH Rundschnur 13 mm,,4250935101440,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,100 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220515,,,JURALITH Rundschnur 15 mm,,JURALITH Rundschnur 15 mm,,4250935101457,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,100 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220520,,,JURALITH Rundschnur 20 mm,,JURALITH Rundschnur 20 mm,,4250935101464,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,50 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220525,,,JURALITH Rundschnur 25 mm,,JURALITH Rundschnur 25 mm,,4250935101471,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,50 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220206,,,JURAFLEX Fugenband 8 x 60 mm,,JURAFLEX Fugenband 8 x 60 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0220208,,,JURAFLEX Fugenband 8 x 80 mm,,JURAFLEX Fugenband 8 x 80 mm,,,BASIC,lfm,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Elastische Dichtungssysteme für Bewegungsfugen,,Rolle,10 m Rolle,,,,,,,Nein,Nein,Nein,Nein,,,,
